disease_ja,class,nesid_annual_2024,idwr_weekly_sum_2024,n_weeks_with_data,abs_discrepancy,rel_underreport_pct,rel_uplift_pct,matched_in_idwr
エボラ出血熱,I,0,0,52,0,,,True
クリミア・コンゴ出血熱,I,0,0,52,0,,,True
痘そう,I,0,0,52,0,,,True
南米出血熱,I,0,0,52,0,,,True
ペスト,I,0,0,52,0,,,True
マールブルグ病,I,0,0,52,0,,,True
ラッサ熱,I,0,0,52,0,,,True
新型インフルエンザ(A H1N1),,0,0,0,0,,,False
急性灰白髄炎,II,0,0,52,0,,,True
結核,II,16240,12403,52,3837,23.63,30.94,True
ジフテリア,II,0,0,52,0,,,True
重症急性呼吸器症候群,II,0,0,52,0,,,True
中東呼吸器症候群,II,0,0,52,0,,,True
鳥インフルエンザ(H5N1),II,0,0,0,0,,,False
鳥インフルエンザ(H7N9),II,0,0,0,0,,,False
コレラ,III,2,2,52,0,0.0,0.0,True
細菌性赤痢,III,74,68,52,6,8.11,8.82,True
腸管出血性大腸菌感染症,III,3748,3468,52,280,7.47,8.07,True
腸チフス,III,42,41,52,1,2.38,2.44,True
パラチフス,III,7,7,52,0,0.0,0.0,True
Ｅ型肝炎,IV,527,454,52,73,13.85,16.08,True
ウエストナイル熱,IV,0,0,52,0,,,True
Ａ型肝炎,IV,137,121,52,16,11.68,13.22,True
エキノコックス症,IV,20,10,52,10,50.0,100.0,True
エムポックス,IV,19,19,52,0,0.0,0.0,True
黄熱,IV,0,0,52,0,,,True
オウム病,IV,4,4,52,0,0.0,0.0,True
オムスク出血熱,,0,0,52,0,,,True
回帰熱,IV,11,10,52,1,9.09,10.0,True
キャサヌル森林病,,0,0,52,0,,,True
Ｑ熱,IV,6,6,52,0,0.0,0.0,True
狂犬病,IV,0,0,52,0,,,True
コクシジオイデス症,IV,4,4,52,0,0.0,0.0,True
ジカウイルス感染症,IV,4,3,52,1,25.0,33.33,True
重症熱性血小板減少症候群,IV,122,107,52,15,12.3,14.02,True
腎症候性出血熱,IV,0,0,52,0,,,True
西部ウマ脳炎,IV,0,0,52,0,,,True
ダニ媒介脳炎,IV,2,2,52,0,0.0,0.0,True
炭疽,IV,0,0,52,0,,,True
チクングニア熱,IV,10,9,52,1,10.0,11.11,True
つつが虫病,IV,354,306,52,48,13.56,15.69,True
デング熱,IV,230,217,52,13,5.65,5.99,True
東部ウマ脳炎,IV,0,0,52,0,,,True
鳥インフルエンザ(H5N1を除く),,0,0,0,0,,,False
ニパウイルス感染症,IV,0,0,52,0,,,True
日本紅斑熱,IV,523,459,52,64,12.24,13.94,True
日本脳炎,IV,9,9,52,0,0.0,0.0,True
ハンタウイルス肺症候群,IV,0,0,52,0,,,True
Ｂウイルス病,IV,0,0,52,0,,,True
鼻疽,IV,0,0,52,0,,,True
ブルセラ症,IV,5,5,52,0,0.0,0.0,True
ベネズエラウマ脳炎,IV,0,0,52,0,,,True
ヘンドラウイルス感染症,IV,0,0,52,0,,,True
発しんチフス,IV,0,0,52,0,,,True
ボツリヌス症,IV,7,6,52,1,14.29,16.67,True
マラリア,IV,44,37,52,7,15.91,18.92,True
野兎病,IV,0,0,52,0,,,True
ライム病,IV,25,21,52,4,16.0,19.05,True
リッサウイルス感染症,IV,0,0,52,0,,,True
リフトバレー熱,IV,0,0,52,0,,,True
類鼻疽,IV,2,2,52,0,0.0,0.0,True
レジオネラ症,IV,2428,2137,52,291,11.99,13.62,True
レプトスピラ症,IV,53,49,52,4,7.55,8.16,True
ロッキー山紅斑熱,IV,0,0,52,0,,,True
アメーバ赤痢,V,523,322,52,201,38.43,62.42,True
ウイルス性肝炎,V,228,152,52,76,33.33,50.0,True
カルバペネム耐性腸内細菌目細菌感染症,V,2293,1612,52,681,29.7,42.25,True
急性弛緩性麻痺,V,48,30,52,18,37.5,60.0,True
急性脳炎,V,633,417,52,216,34.12,51.8,True
クリプトスポリジウム症,V,27,17,52,10,37.04,58.82,True
クロイツフェルト・ヤコブ病,V,174,107,52,67,38.51,62.62,True
劇症型溶血性レンサ球菌感染症,V,1893,1403,52,490,25.88,34.93,True
後天性免疫不全症候群（ＨＩＶ感染症を含む）,,1006,0,0,1006,100.0,,False
ジアルジア症,V,42,35,52,7,16.67,20.0,True
侵襲性インフルエンザ菌感染症,V,651,473,52,178,27.34,37.63,True
侵襲性髄膜炎菌感染症,V,66,57,52,9,13.64,15.79,True
侵襲性肺炎球菌感染症,V,2553,1934,52,619,24.25,32.01,True
水痘（入院例）,,486,0,0,486,100.0,,False
先天性風しん症候群,V,0,0,52,0,,,True
梅毒,V,14829,9201,52,5628,37.95,61.17,True
播種性クリプトコックス症,V,190,121,52,69,36.32,57.02,True
破傷風,V,86,62,52,24,27.91,38.71,True
バンコマイシン耐性黄色ブドウ球菌感染症,V,0,0,52,0,,,True
バンコマイシン耐性腸球菌感染症,V,124,84,52,40,32.26,47.62,True
百日咳,V,4080,3192,52,888,21.76,27.82,True
風しん,V,9,9,52,0,0.0,0.0,True
麻しん,V,45,47,52,-2,-4.44,-4.26,True
薬剤耐性アシネトバクター感染症,V,6,6,52,0,0.0,0.0,True
