outbreak_id,disease,class,n_detectors_fired,detectors_fired,unique_savior,combined_detected
1,手足口病,sentinel,1,D_growth,D_growth,Y
2,手足口病,sentinel,2,D_stat; D_spatial,,Y
3,RSウイルス感染症,sentinel,1,D_spatial,D_spatial,Y
4,インフルエンザ,sentinel,1,D_growth,D_growth,Y
5,マイコプラズマ肺炎,sentinel,2,D_stat; D_spatial,,Y
6,感染性胃腸炎,sentinel,0,,,N
7,流行性耳下腺炎,sentinel,2,D_stat; D_spatial,,Y
8,A群溶血性レンサ球菌咽頭炎,sentinel,2,D_stat; D_spatial,,Y
9,咽頭結膜熱,sentinel,2,D_stat; D_spatial,,Y
10,風しん,full-report,4,D_rare; D_stat; D_growth; D_spatial,,Y
11,麻しん,full-report,3,D_rare; D_stat; D_spatial,,Y
12,梅毒,full-report,1,D_spatial,D_spatial,Y
