outbreak_id,disease,class,anchor_method,ref_year,ref_week,detector,first_alert_year,first_alert_week,severity,lead_weeks,urban_tier_leader
1,手足口病,sentinel,external_official,2018,19,D_rare,,,,,
1,手足口病,sentinel,external_official,2018,19,D_stat,,,,,
1,手足口病,sentinel,external_official,2018,19,D_growth,2018,20,medium,-1,
1,手足口病,sentinel,external_official,2018,19,D_spatial,,,,,
1,手足口病,sentinel,external_official,2018,19,Combined_OR,2018,20,medium,-1,
2,手足口病,sentinel,external_official,2019,20,D_rare,,,,,
2,手足口病,sentinel,external_official,2019,20,D_stat,2019,27,medium,-7,
2,手足口病,sentinel,external_official,2019,20,D_growth,,,,,
2,手足口病,sentinel,external_official,2019,20,D_spatial,2019,22,medium,-2,high_urban
2,手足口病,sentinel,external_official,2019,20,Combined_OR,2019,21,high,-1,
3,RSウイルス感染症,sentinel,external_official,2024,19,D_rare,,,,,
3,RSウイルス感染症,sentinel,external_official,2024,19,D_stat,2025,4,high,-37,
3,RSウイルス感染症,sentinel,external_official,2024,19,D_growth,,,,,
3,RSウイルス感染症,sentinel,external_official,2024,19,D_spatial,2024,15,medium,4,high_urban
3,RSウイルス感染症,sentinel,external_official,2024,19,Combined_OR,2024,15,high,4,
4,インフルエンザ,sentinel,external_official,2022,40,D_rare,,,,,
4,インフルエンザ,sentinel,external_official,2022,40,D_stat,2023,18,high,-30,
4,インフルエンザ,sentinel,external_official,2022,40,D_growth,2022,50,medium,-10,
4,インフルエンザ,sentinel,external_official,2022,40,D_spatial,2023,15,high,-27,mixed
4,インフルエンザ,sentinel,external_official,2022,40,Combined_OR,2022,50,medium,-10,
5,マイコプラズマ肺炎,sentinel,external_official,2024,20,D_rare,,,,,
5,マイコプラズマ肺炎,sentinel,external_official,2024,20,D_stat,2024,19,medium,1,
5,マイコプラズマ肺炎,sentinel,external_official,2024,20,D_growth,,,,,
5,マイコプラズマ肺炎,sentinel,external_official,2024,20,D_spatial,2024,16,medium,4,high_urban
5,マイコプラズマ肺炎,sentinel,external_official,2024,20,Combined_OR,2024,16,medium,4,
6,感染性胃腸炎,sentinel,external_official,2023,44,D_rare,,,,,
6,感染性胃腸炎,sentinel,external_official,2023,44,D_stat,,,,,
6,感染性胃腸炎,sentinel,external_official,2023,44,D_growth,,,,,
6,感染性胃腸炎,sentinel,external_official,2023,44,D_spatial,,,,,
6,感染性胃腸炎,sentinel,external_official,2023,44,Combined_OR,,,,,
7,流行性耳下腺炎,sentinel,external_official,2016,20,D_rare,,,,,
7,流行性耳下腺炎,sentinel,external_official,2016,20,D_stat,2016,16,high,4,
7,流行性耳下腺炎,sentinel,external_official,2016,20,D_growth,,,,,
7,流行性耳下腺炎,sentinel,external_official,2016,20,D_spatial,2016,16,high,4,high_urban
7,流行性耳下腺炎,sentinel,external_official,2016,20,Combined_OR,2016,16,high,4,
8,A群溶血性レンサ球菌咽頭炎,sentinel,external_official,2023,25,D_rare,,,,,
8,A群溶血性レンサ球菌咽頭炎,sentinel,external_official,2023,25,D_stat,2023,43,medium,-18,
8,A群溶血性レンサ球菌咽頭炎,sentinel,external_official,2023,25,D_growth,,,,,
8,A群溶血性レンサ球菌咽頭炎,sentinel,external_official,2023,25,D_spatial,2023,40,medium,-15,high_urban
8,A群溶血性レンサ球菌咽頭炎,sentinel,external_official,2023,25,Combined_OR,2023,40,medium,-15,
9,咽頭結膜熱,sentinel,external_official,2023,33,D_rare,,,,,
9,咽頭結膜熱,sentinel,external_official,2023,33,D_stat,2023,31,medium,2,
9,咽頭結膜熱,sentinel,external_official,2023,33,D_growth,,,,,
9,咽頭結膜熱,sentinel,external_official,2023,33,D_spatial,2023,33,high,0,high_urban
9,咽頭結膜熱,sentinel,external_official,2023,33,Combined_OR,2023,31,medium,2,
10,風しん,full-report,external_official,2018,26,D_rare,2018,22,high,4,
10,風しん,full-report,external_official,2018,26,D_stat,2018,30,high,-4,
10,風しん,full-report,external_official,2018,26,D_growth,2018,32,high,-6,
10,風しん,full-report,external_official,2018,26,D_spatial,2018,32,medium,-6,high_urban
10,風しん,full-report,external_official,2018,26,Combined_OR,2018,22,high,4,
11,麻しん,full-report,data_derived_yty50,2026,4,D_rare,2026,3,high,1,
11,麻しん,full-report,data_derived_yty50,2026,4,D_stat,2026,3,high,1,
11,麻しん,full-report,data_derived_yty50,2026,4,D_growth,,,,,
11,麻しん,full-report,data_derived_yty50,2026,4,D_spatial,2026,4,high,0,high_urban
11,麻しん,full-report,data_derived_yty50,2026,4,Combined_OR,2026,3,high,1,
12,梅毒,full-report,data_derived_50_of_prev_full,2024,29,D_rare,,,,,
12,梅毒,full-report,data_derived_50_of_prev_full,2024,29,D_stat,,,,,
12,梅毒,full-report,data_derived_50_of_prev_full,2024,29,D_growth,,,,,
12,梅毒,full-report,data_derived_50_of_prev_full,2024,29,D_spatial,2024,29,medium,0,rural_leaning
12,梅毒,full-report,data_derived_50_of_prev_full,2024,29,Combined_OR,2024,29,medium,0,
