iso_week,weekly_count_national,D_rare_state,D_stat_state,D_growth_state,D_spatial_state,D_spatial_leader_tier,Combined_state,sustained_alert_active
2024-W01,131,silent,silent,silent,silent,mixed,silent,N
2024-W02,212,silent,silent,silent,silent,rural_leaning,silent,N
2024-W03,238,silent,silent,silent,silent,rural_leaning,silent,N
2024-W04,358,silent,silent,silent,silent,rural_leaning,silent,N
2024-W05,379,silent,silent,silent,silent,high_urban,silent,N
2024-W06,438,silent,silent,silent,silent,high_urban,silent,N
2024-W07,464,silent,silent,silent,silent,high_urban,silent,N
2024-W08,658,silent,silent,silent,silent,mixed,silent,N
2024-W09,904,silent,silent,silent,silent,rural_leaning,silent,N
2024-W10,1171,silent,silent,medium,silent,rural_leaning,medium,N
2024-W11,1491,silent,silent,silent,silent,rural_leaning,silent,N
2024-W12,1812,silent,silent,silent,silent,high_urban,silent,N
2024-W13,2494,silent,silent,silent,silent,high_urban,silent,N
2024-W14,3148,silent,silent,silent,silent,high_urban,silent,N
2024-W15,4448,silent,silent,high,medium,high_urban,high,N
2024-W16,5498,silent,silent,silent,medium,high_urban,medium,N
2024-W17,5379,silent,silent,silent,medium,high_urban,medium,Y
2024-W18,3905,silent,silent,silent,silent,high_urban,silent,N
2024-W19,3832,silent,silent,silent,silent,rural_leaning,silent,N
2024-W20,4332,silent,silent,silent,silent,rural_leaning,silent,N
2024-W21,4748,silent,silent,silent,silent,rural_leaning,silent,N
2024-W22,4104,silent,silent,silent,silent,rural_leaning,silent,N
2024-W23,4308,silent,silent,silent,silent,rural_leaning,silent,N
2024-W24,3830,silent,silent,silent,silent,rural_leaning,silent,N
2024-W25,3970,silent,silent,silent,silent,rural_leaning,silent,N
2024-W26,4263,silent,silent,silent,silent,rural_leaning,silent,N
2024-W27,5044,silent,silent,silent,silent,rural_leaning,silent,N
2024-W28,5763,silent,silent,silent,silent,rural_leaning,silent,N
2024-W29,5274,silent,silent,silent,silent,rural_leaning,silent,N
2024-W30,5502,silent,silent,silent,silent,rural_leaning,silent,N
